Analog output scaling is 0.1 Volts/unit of measurement.
[ 1:42:47.482 PM] Pressure: -82.98,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:19.812
[ 1:42:47.593 PM] Pressure: -83.04,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:19.921
[ 1:42:47.716 PM] Pressure: -83.04,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:20.028
[ 1:42:47.806 PM] Pressure: -83.10,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:20.135
[ 1:42:47.931 PM] Pressure: -83.10,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:20.243
[ 1:42:48.023 PM] Pressure: -83.10,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:20.352
[ 1:42:48.147 PM] Pressure: -83.10,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:20.459
[ 1:42:48.239 PM] Pressure: -83.10,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:20.568
[ 1:42:48.363 PM] Pressure: -83.10,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:20.675
[ 1:42:48.454 PM] Pressure: -83.16,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:20.784
[ 1:42:48.577 PM] Pressure: -83.16,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:20.892
[ 1:42:48.669 PM] Pressure: -83.16,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:21.000
[ 1:42:48.794 PM] Pressure: -83.16,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:21.107
[ 1:42:48.906 PM] Pressure: -83.16,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:21.215
[ 1:42:49.009 PM] Pressure: -83.16,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:21.323
[ 1:42:49.112 PM] Pressure: -83.16,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:21.431
[ 1:42:49.224 PM] Pressure: -83.16,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:21.539
[ 1:42:49.326 PM] Pressure: -83.22,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:21.647
[ 1:42:49.440 PM] Pressure: -83.22,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:21.755
[ 1:42:49.542 PM] Pressure: -83.22,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:21.863
[ 1:42:49.655 PM] Pressure: -83.22,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:21.971
[ 1:42:49.758 PM] Pressure: -83.22,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:22.078
[ 1:42:49.880 PM] Pressure: -83.22,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:22.186
[ 1:42:49.971 PM] Pressure: -83.22,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:22.294
[ 1:42:50.095 PM] Pressure: -83.22,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:22.402
[ 1:42:50.197 PM] Pressure: -83.16,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:22.511
[ 1:42:50.311 PM] Pressure: -83.16,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:22.619
[ 1:42:50.412 PM] Pressure: -83.16,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:22.727
[ 1:42:50.525 PM] Pressure: -83.16,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:22.835
[ 1:42:50.627 PM] Pressure: -83.16,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:22.943
[ 1:42:50.750 PM] Pressure: -83.16,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:23.050
[ 1:42:50.864 PM] Pressure: -83.22,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:23.168
[ 1:42:50.967 PM] Pressure: -83.28,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:23.277
[ 1:42:51.090 PM] Pressure: -83.28,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:23.385
[ 1:42:51.181 PM] Pressure: -83.28,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:23.493
[ 1:42:51.305 PM] Pressure: -83.28,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:23.601
[ 1:42:51.407 PM] Pressure: -83.28,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:23.709
[ 1:42:51.520 PM] Pressure: -83.28,  Volume: 1.21, Battery: 0.57, Timestamp: 01:01:23.817
