Analog output scaling is 0.1 Volts/unit of measurement.
[ 1:38:58.448 PM] Pressure: -79.92,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:32.145
[ 1:38:58.548 PM] Pressure: -79.98,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:32.253
[ 1:38:58.650 PM] Pressure: -80.10,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:32.361
[ 1:38:58.773 PM] Pressure: -80.16,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:32.469
[ 1:38:58.864 PM] Pressure: -80.16,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:32.577
[ 1:38:58.987 PM] Pressure: -80.22,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:32.685
[ 1:38:59.079 PM] Pressure: -80.28,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:32.793
[ 1:38:59.202 PM] Pressure: -80.28,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:32.901
[ 1:38:59.314 PM] Pressure: -80.28,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:33.008
[ 1:38:59.417 PM] Pressure: -80.22,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:33.116
[ 1:38:59.537 PM] Pressure: -80.16,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:33.224
[ 1:38:59.638 PM] Pressure: -80.10,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:33.332
[ 1:38:59.752 PM] Pressure: -80.04,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:33.440
[ 1:38:59.851 PM] Pressure: -79.98,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:33.548
[ 1:38:59.975 PM] Pressure: -79.86,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:33.656
[ 1:39:00.066 PM] Pressure: -79.75,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:33.764
[ 1:39:00.167 PM] Pressure: -79.69,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:33.872
[ 1:39:00.289 PM] Pressure: -79.80,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:33.980
[ 1:39:00.392 PM] Pressure: -79.92,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:34.087
[ 1:39:00.504 PM] Pressure: -79.98,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:34.195
[ 1:39:00.606 PM] Pressure: -80.04,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:34.303
[ 1:39:00.719 PM] Pressure: -80.10,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:34.411
[ 1:39:00.831 PM] Pressure: -80.16,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:34.519
[ 1:39:00.943 PM] Pressure: -80.16,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:34.627
[ 1:39:01.044 PM] Pressure: -80.16,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:34.735
[ 1:39:01.169 PM] Pressure: -80.22,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:34.843
[ 1:39:01.259 PM] Pressure: -80.16,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:34.951
[ 1:39:01.382 PM] Pressure: -80.16,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:35.058
[ 1:39:01.485 PM] Pressure: -80.10,  Volume: 1.19, Battery: 0.57, Timestamp: 00:57:35.166
