Analog output scaling is 0.1 Volts/unit of measurement.
[ 1:51:43.674 PM] Pressure: -73.91,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:12.860
[ 1:51:43.798 PM] Pressure: -73.91,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:12.968
[ 1:51:43.899 PM] Pressure: -74.03,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:13.075
[ 1:51:44.011 PM] Pressure: -74.09,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:13.183
[ 1:51:44.113 PM] Pressure: -74.21,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:13.291
[ 1:51:44.236 PM] Pressure: -74.33,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:13.399
[ 1:51:44.329 PM] Pressure: -74.44,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:13.507
[ 1:51:44.430 PM] Pressure: -74.50,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:13.615
[ 1:51:44.553 PM] Pressure: -74.62,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:13.723
[ 1:51:44.645 PM] Pressure: -74.74,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:13.831
[ 1:51:44.768 PM] Pressure: -74.80,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:13.939
[ 1:51:44.871 PM] Pressure: -74.92,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:14.046
[ 1:51:44.984 PM] Pressure: -74.97,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:14.154
[ 1:51:45.084 PM] Pressure: -75.15,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:14.262
[ 1:51:45.208 PM] Pressure: -75.15,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:14.370
[ 1:51:45.299 PM] Pressure: -75.15,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:14.478
[ 1:51:45.423 PM] Pressure: -75.21,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:14.587
[ 1:51:45.524 PM] Pressure: -75.21,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:14.695
[ 1:51:45.637 PM] Pressure: -75.21,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:14.803
[ 1:51:45.738 PM] Pressure: -75.27,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:14.911
[ 1:51:45.863 PM] Pressure: -75.33,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:15.018
[ 1:51:45.954 PM] Pressure: -75.33,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:15.126
[ 1:51:46.079 PM] Pressure: -75.33,  Volume: 1.29, Battery: 0.57, Timestamp: 01:10:15.234
