Analog output scaling is 0.1 Volts/unit of measurement.
[10:57:20.366 AM] Pressure: -33.10,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:27.445
[10:57:20.468 AM] Pressure: -33.10,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:27.554
[10:57:20.581 AM] Pressure: -33.10,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:27.662
[10:57:20.682 AM] Pressure: -33.04,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:27.770
[10:57:20.806 AM] Pressure: -32.98,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:27.879
[10:57:20.899 AM] Pressure: -32.81,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:27.987
[10:57:21.022 AM] Pressure: -32.63,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:28.094
[10:57:21.114 AM] Pressure: -32.45,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:28.202
[10:57:21.238 AM] Pressure: -32.34,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:28.311
[10:57:21.330 AM] Pressure: -32.28,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:28.419
[10:57:21.453 AM] Pressure: -32.10,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:28.527
[10:57:21.554 AM] Pressure: -32.04,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:28.635
[10:57:21.667 AM] Pressure: -32.04,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:28.744
[10:57:21.768 AM] Pressure: -32.10,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:28.852
[10:57:21.892 AM] Pressure: -32.10,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:28.960
[10:57:21.981 AM] Pressure: -32.16,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:29.067
[10:57:22.105 AM] Pressure: -32.22,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:29.176
[10:57:22.205 AM] Pressure: -32.28,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:29.284
[10:57:22.328 AM] Pressure: -32.34,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:29.392
[10:57:22.417 AM] Pressure: -32.34,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:29.501
[10:57:22.539 AM] Pressure: -32.34,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:29.609
[10:57:22.640 AM] Pressure: -32.34,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:29.717
[10:57:22.740 AM] Pressure: -32.45,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:29.826
[10:57:22.862 AM] Pressure: -32.75,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:29.934
[10:57:22.963 AM] Pressure: -32.98,  Volume: 1.18, Battery: 0.56, Timestamp: 00:50:30.042
[10:57:23.077 AM] Pressure: -33.22,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:30.160
[10:57:23.199 AM] Pressure: -33.57,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:30.269
[10:57:23.300 AM] Pressure: -33.99,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:30.377
[10:57:23.423 AM] Pressure: -34.57,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:30.485
[10:57:23.515 AM] Pressure: -35.16,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:30.594
[10:57:23.637 AM] Pressure: -35.63,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:30.702
[10:57:23.739 AM] Pressure: -36.11,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:30.810
[10:57:23.853 AM] Pressure: -36.46,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:30.919
[10:57:23.954 AM] Pressure: -36.99,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:31.026
[10:57:24.077 AM] Pressure: -37.17,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:31.135
[10:57:24.167 AM] Pressure: -37.28,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:31.243
[10:57:24.289 AM] Pressure: -37.40,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:31.351
[10:57:24.390 AM] Pressure: -37.46,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:31.459
[10:57:24.502 AM] Pressure: -37.58,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:31.568
[10:57:24.605 AM] Pressure: -37.70,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:31.676
[10:57:24.728 AM] Pressure: -37.87,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:31.784
[10:57:24.830 AM] Pressure: -37.99,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:31.892
[10:57:24.943 AM] Pressure: -38.17,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:32.000
[10:57:25.045 AM] Pressure: -38.40,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:32.108
[10:57:25.167 AM] Pressure: -38.46,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:32.216
[10:57:25.259 AM] Pressure: -38.40,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:32.325
[10:57:25.383 AM] Pressure: -38.34,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:32.433
[10:57:25.484 AM] Pressure: -38.23,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:32.541
[10:57:25.595 AM] Pressure: -38.11,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:32.650
[10:57:25.697 AM] Pressure: -37.87,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:32.758
[10:57:25.820 AM] Pressure: -37.64,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:32.867
[10:57:25.911 AM] Pressure: -37.46,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:32.975
[10:57:26.035 AM] Pressure: -37.22,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:33.082
[10:57:26.137 AM] Pressure: -37.11,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:33.191
[10:57:26.249 AM] Pressure: -36.87,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:33.299
[10:57:26.352 AM] Pressure: -36.81,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:33.407
[10:57:26.477 AM] Pressure: -36.75,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:33.516
[10:57:26.567 AM] Pressure: -36.69,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:33.624
[10:57:26.688 AM] Pressure: -36.64,  Volume: 1.35, Battery: 0.56, Timestamp: 00:50:33.733
