Analog output scaling is 0.1 Volts/unit of measurement.
[ 1:55:05.911 PM] Pressure: -80.63,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:33.925
[ 1:55:06.023 PM] Pressure: -80.63,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:34.032
[ 1:55:06.126 PM] Pressure: -80.63,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:34.140
[ 1:55:06.250 PM] Pressure: -80.63,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:34.248
[ 1:55:06.341 PM] Pressure: -80.57,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:34.356
[ 1:55:06.466 PM] Pressure: -80.57,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:34.464
[ 1:55:06.556 PM] Pressure: -80.51,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:34.572
[ 1:55:06.679 PM] Pressure: -80.45,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:34.681
[ 1:55:06.781 PM] Pressure: -80.45,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:34.789
[ 1:55:06.894 PM] Pressure: -80.39,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:34.897
[ 1:55:06.996 PM] Pressure: -80.39,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:35.004
[ 1:55:07.120 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:35.113
[ 1:55:07.232 PM] Pressure: -80.39,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:35.231
[ 1:55:07.333 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:35.339
[ 1:55:07.459 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:35.448
[ 1:55:07.550 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:35.556
[ 1:55:07.673 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:35.664
[ 1:55:07.764 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:35.772
[ 1:55:07.889 PM] Pressure: -80.28,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:35.880
[ 1:55:07.989 PM] Pressure: -80.28,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:35.988
