[ 1:46:01.161 PM] NoLock
[ 1:46:01.294 PM] LockShort
[ 1:46:01.419 PM] Pressure: 44.17,  Volume: 0.85, Battery: 0.57, Timestamp: 00:35:31.251
[ 1:46:01.532 PM] Pressure: 44.11,  Volume: 0.85, Battery: 0.57, Timestamp: 00:35:31.358
[ 1:46:01.634 PM] Pressure: 44.11,  Volume: 1.74, Battery: 0.57, Timestamp: 00:35:31.465
[ 1:46:01.834 PM] NoLock
[ 1:46:02.012 PM] NoLock
[ 1:46:02.173 PM] Pressure: 44.22,  Volume: 0.85, Battery: 0.57, Timestamp: 00:35:32.006
[ 1:46:02.298 PM] Pressure: 57.36,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:32.114
[ 1:46:02.389 PM] Pressure: 57.30,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:32.222
[ 1:46:02.512 PM] Pressure: 57.24,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:32.330
[ 1:46:02.614 PM] Pressure: 57.12,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:32.438
[ 1:46:02.728 PM] Pressure: 57.12,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:32.546
[ 1:46:02.830 PM] Pressure: 57.06,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:32.654
[ 1:46:02.932 PM] Pressure: 57.00,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:32.762
[ 1:46:03.046 PM] Pressure: 57.12,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:32.870
[ 1:46:03.149 PM] Pressure: 57.48,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:32.978
[ 1:46:03.273 PM] Pressure: 57.59,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:33.085
[ 1:46:03.364 PM] Pressure: 57.77,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:33.193
[ 1:46:03.489 PM] Pressure: 57.77,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:33.301
[ 1:46:03.579 PM] Pressure: 57.65,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:33.409
[ 1:46:03.702 PM] Pressure: 57.53,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:33.517
[ 1:46:03.805 PM] Pressure: 57.48,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:33.625
[ 1:46:03.918 PM] Pressure: 57.48,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:33.733
[ 1:46:04.020 PM] Pressure: 57.48,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:33.841
[ 1:46:04.134 PM] Pressure: 57.42,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:33.949
[ 1:46:04.236 PM] Pressure: 57.36,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:34.056
[ 1:46:04.361 PM] Pressure: 57.42,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:34.164
[ 1:46:04.452 PM] Pressure: 57.42,  Volume: 1.67, Battery: 0.55, Timestamp: 00:35:34.272
