Analog output scaling is 0.1 Volts/unit of measurement.
[ 1:57:08.870 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:36.163
[ 1:57:08.971 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:36.272
[ 1:57:09.094 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:36.380
[ 1:57:09.185 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:36.487
[ 1:57:09.310 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:36.596
[ 1:57:09.402 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:36.704
[ 1:57:09.529 PM] Pressure: -79.04,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:36.812
[ 1:57:09.620 PM] Pressure: -79.04,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:36.920
[ 1:57:09.722 PM] Pressure: -79.04,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:37.027
[ 1:57:09.844 PM] Pressure: -78.98,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:37.135
[ 1:57:09.957 PM] Pressure: -78.98,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:37.243
[ 1:57:10.060 PM] Pressure: -78.98,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:37.351
[ 1:57:10.183 PM] Pressure: -78.98,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:37.459
[ 1:57:10.284 PM] Pressure: -78.98,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:37.567
[ 1:57:10.376 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:37.675
[ 1:57:10.498 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:37.783
[ 1:57:10.591 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:37.891
[ 1:57:10.714 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:38.000
[ 1:57:10.807 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:38.107
[ 1:57:10.933 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:38.214
[ 1:57:11.025 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:38.323
[ 1:57:11.148 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:38.431
[ 1:57:11.251 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:38.539
[ 1:57:11.364 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:38.647
[ 1:57:11.465 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:38.755
[ 1:57:11.579 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:38.863
[ 1:57:11.681 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:38.971
[ 1:57:11.805 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:39.078
[ 1:57:11.897 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:39.187
[ 1:57:12.021 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:39.295
[ 1:57:12.114 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:39.402
[ 1:57:12.238 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:39.510
[ 1:57:12.330 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:39.619
[ 1:57:12.455 PM] Pressure: -79.27,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:39.727
[ 1:57:12.557 PM] Pressure: -79.27,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:39.835
[ 1:57:12.671 PM] Pressure: -79.27,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:39.943
[ 1:57:12.773 PM] Pressure: -79.27,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:40.050
[ 1:57:12.885 PM] Pressure: -79.27,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:40.158
[ 1:57:12.986 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:40.266
[ 1:57:13.109 PM] Pressure: -79.27,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:40.374
[ 1:57:13.201 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:40.482
[ 1:57:13.324 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:40.590
[ 1:57:13.436 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:40.708
[ 1:57:13.539 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:40.816
[ 1:57:13.653 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:40.924
[ 1:57:13.755 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:41.031
[ 1:57:13.868 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:41.139
[ 1:57:13.971 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:41.247
[ 1:57:14.094 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:41.355
[ 1:57:14.186 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:41.463
[ 1:57:14.310 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:41.571
[ 1:57:14.413 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:41.679
[ 1:57:14.536 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:41.787
[ 1:57:14.628 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:41.895
[ 1:57:14.730 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:42.002
[ 1:57:14.853 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:42.110
[ 1:57:14.944 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:42.218
[ 1:57:15.068 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:42.326
[ 1:57:15.170 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:42.434
[ 1:57:15.282 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:42.542
[ 1:57:15.385 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:42.650
[ 1:57:15.499 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:42.758
[ 1:57:15.599 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:42.866
[ 1:57:15.723 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:42.974
[ 1:57:15.813 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:43.081
[ 1:57:15.937 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:43.189
[ 1:57:16.039 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:43.297
[ 1:57:16.153 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:43.405
[ 1:57:16.255 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:43.514
[ 1:57:16.368 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:43.622
[ 1:57:16.470 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:43.729
[ 1:57:16.583 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:43.837
[ 1:57:16.686 PM] Pressure: -79.22,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:43.945
[ 1:57:16.798 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:44.053
[ 1:57:16.900 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:44.161
[ 1:57:17.025 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:44.269
[ 1:57:17.117 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:44.377
[ 1:57:17.241 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:44.485
[ 1:57:17.333 PM] Pressure: -79.04,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:44.593
[ 1:57:17.457 PM] Pressure: -79.04,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:44.701
[ 1:57:17.551 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:44.809
[ 1:57:17.676 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:44.917
[ 1:57:17.766 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:45.024
[ 1:57:17.890 PM] Pressure: -79.16,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:45.132
[ 1:57:17.992 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:45.240
[ 1:57:18.105 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:45.348
[ 1:57:18.208 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:45.456
[ 1:57:18.322 PM] Pressure: -79.10,  Volume: 1.31, Battery: 0.57, Timestamp: 01:15:45.565
